name	formula	state	pwd_xyz	energy	Mass	Na	ID
SiC	ERROR	3Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC_3Pi.xyz	-326.86935800000003	0.0	0	NoFormulaMatching
SO2	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SO2_1A1.xyz	-548.006271	0.0	0	NoFormulaMatching
HCl	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCl_1Sigma.xyz	-460.34570999999994	0.0	0	NoFormulaMatching
HSiS	ERROR	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HSiS_2Ap.xyz	-687.364249	0.0	0	NoFormulaMatching
HS	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HS_2Pi.xyz	-398.293091	0.0	0	NoFormulaMatching
PH2	ERROR	2B1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/PH2_2B1.xyz	-342.061689	0.0	0	NoFormulaMatching
SiH	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiH_2Pi.xyz	-289.54895	0.0	0	NoFormulaMatching
HS2	ERROR	2App	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HS2_2App.xyz	-796.063375	0.0	0	NoFormulaMatching
C4S	ERROR	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C4S_3Sigma.xyz	-549.648109	0.0	0	NoFormulaMatching
SiS	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiS_1Sigma.xyz	-686.814157	0.0	0	NoFormulaMatching
HNSi	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HNSi_1Sigma.xyz	-344.317825	0.0	0	NoFormulaMatching
NS	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NS_2Pi.xyz	-452.34224400000005	0.0	0	NoFormulaMatching
SiC6H	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC6H_2Pi.xyz	-517.409738	0.0	0	NoFormulaMatching
SiCH3	ERROR	2App	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiCH3_2App.xyz	-328.80719	0.0	0	NoFormulaMatching
OCl	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/OCl_2Pi.xyz	-534.7511559999999	0.0	0	NoFormulaMatching
HSCN	ERROR	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HSCN_1Ap.xyz	-491.027304	0.0	0	NoFormulaMatching
NaH	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NaH_1Sigma.xyz	-162.428478	0.0	0	NoFormulaMatching
PO	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/PO_2Pi.xyz	-416.016734	0.0	0	NoFormulaMatching
HCP	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCP_1Sigma.xyz	-379.491774	0.0	0	NoFormulaMatching
PH	ERROR	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/PH_3Sigma.xyz	-341.43577700000003	0.0	0	NoFormulaMatching
SO	ERROR	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SO_3Sigma.xyz	-472.82625599999994	0.0	0	NoFormulaMatching
MgH	ERROR	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/MgH_2Sigma.xyz	-200.198039	0.0	0	NoFormulaMatching
SiNC	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiNC_2Pi.xyz	-381.671041	0.0	0	NoFormulaMatching
SiN	ERROR	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiN_2Sigma.xyz	-343.610249	0.0	0	NoFormulaMatching
SiO2	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiO2_1Sigma.xyz	-439.347195	0.0	0	NoFormulaMatching
c-SiC2H2	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/c-SiC2H2_1A1.xyz	-366.241741	0.0	0	NoFormulaMatching
C2S	ERROR	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2S_3Sigma.xyz	-473.63426200000004	0.0	0	NoFormulaMatching
C3S	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C3S_1Sigma.xyz	-511.688215	0.0	0	NoFormulaMatching
SiO	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiO_1Sigma.xyz	-364.208093	0.0	0	NoFormulaMatching
SiH3	ERROR	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiH3_2Ap.xyz	-290.79073	0.0	0	NoFormulaMatching
SiC3H5	ERROR	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC3H5_2Ap.xyz	-405.93990099999996	0.0	0	NoFormulaMatching
H	H1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H_1Sigma.xyz	-0.49981000000000003	1.00784	1	H1_0
C	C1	3Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C_3Pi.xyz	-37.780762	12.0107	1	C1_0
N	N1	4Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/N_4Sigma.xyz	-54.514706999999994	14.0067	1	N1_0
O	O1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/O_3Sigma.xyz	-74.973962	15.999	1	O1_0
H2	H2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2_1Sigma.xyz	-1.172636	2.01568	2	H2_0
CH	H1C1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH_2Pi.xyz	-38.412659000000005	13.01854	2	H1C1_0
NH	H1N1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NH_3Sigma.xyz	-55.144774	15.01454	2	H1N1_0
OH	H1O1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/OH_2Pi.xyz	-75.645398	17.00684	2	H1O1_0
C2	C2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2_1Sigma.xyz	-75.78637900000001	24.0214	2	C2_0
CN	C1N1	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CN_2Sigma.xyz	-92.57178499999999	26.0174	2	C1N1_0
CO	C1O1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CO_1Sigma.xyz	-113.162194	28.0097	2	C1O1_0
N2	N2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/N2_1Sigma.xyz	-109.380845	28.0134	2	N2_0
NO	N1O1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NO_2Pi.xyz	-129.72599	30.0057	2	N1O1_0
O2	O2	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/O2_3Sigma.xyz	-150.14035800000002	31.998	2	O2_0
CH2	H2C1	3B1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH2_3B1.xyz	-39.079824	14.02638	3	H2C1_0
NH2	H2N1	2B1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NH2_2B1.xyz	-55.799659	16.022380000000002	3	H2N1_0
H2O	H2O1	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2O_1A1.xyz	-76.342326	18.01468	3	H2O1_0
C2H	H1C2	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2H_2Sigma.xyz	-76.462316	25.029239999999998	3	H1C2_0
HNC	H1C1N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HNC_1Sigma.xyz	-93.257511	27.025240000000004	3	H1C1N1_1
HCN	H1C1N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCN_1Sigma.xyz	-93.28116800000001	27.025240000000004	3	H1C1N1_0
HCO	H1C1O1	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCO_2Ap.xyz	-113.69216000000002	29.017540000000004	3	H1C1O1_0
HNO	H1N1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HNO_1Ap.xyz	-130.30975	31.013540000000003	3	H1N1O1_1
HO2	H1O2	2App	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HO2_2App.xyz	-150.725748	33.00584	3	H1O2_0
C3	C3	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C3_1Sigma.xyz	-113.83866100000002	36.0321	3	C3_0
C2N	C2N1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2N_2Pi.xyz	-130.5317	38.0281	3	C2N1_0
C2O	C2O1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2O_3Sigma.xyz	-151.026024	40.0204	3	C2O1_1
NCO	C1N1O1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NCO_2Pi.xyz	-167.76158600000002	42.0164	3	C1N1O1_1
CO2	C1O2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CO2_1Sigma.xyz	-188.340595	44.00870000000001	3	C1O2_1
N2O	N2O1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/N2O_1Sigma.xyz	-184.42045900000002	44.0124	3	N2O1_1
NO2	N1O2	2A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NO2_2A1.xyz	-204.816669	46.0047	3	N1O2_0
CH3	H3C1	2B2	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3_2B2.xyz	-39.763501	15.03422	4	H3C1_0
NH3	H3N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NH3_1Ap.xyz	-56.480563000000004	17.03022	4	H3N1_0
C2H2	H2C2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2H2_1Sigma.xyz	-77.192197	26.03708	4	H2C2_0
H2CN	H2C1N1	2B2	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2CN_2B2.xyz	-93.82974499999999	28.03308	4	H2C1N1_1
H2CO	H2C1O1	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2CO_1A1.xyz	-114.34293400000001	30.02538	4	H2C1O1_0
HOOH	H2O2	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HOOH_1A1.xyz	-151.374299	34.01368	4	H2O2_0
l-C3H	H1C3	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/l-C3H_2Pi.xyz	-114.46268500000001	37.03994	4	H1C3_1
c-C3H	H1C3	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/c-C3H_2Ap.xyz	-114.465516	37.03994	4	H1C3_2
HNCO	H1C1N1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HNCO_1Ap.xyz	-168.445947	43.02424	4	NoFormulaMatching
HOCN	H1C1N1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HOCN_1Ap.xyz	-168.40759	43.02424	4	NoFormulaMatching
HCNO	H1C1N1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCNO_1Ap.xyz	-168.334893	43.02424	4	NoFormulaMatching
HONC	H1C1N1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HONC_1Ap.xyz	-168.31356100000002	43.02424	4	NoFormulaMatching
C4	C4	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C4_1Sigma.xyz	-151.784303	48.0428	4	C4_3
C3N	C3N1	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C3N_2Sigma.xyz	-168.565505	50.0388	4	C3N1_6
C3O	C3O1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C3O_1Sigma.xyz	-189.093219	52.0311	4	C3O1_1
CH4	H4C1	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH4_1A1.xyz	-40.44093	16.04206	5	H4C1_0
C2H3	H3C2	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2H3_2Ap.xyz	-77.757334	27.04492	5	H3C2_0
CH2NH	H3C1N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH2NH_1Ap.xyz	-94.48053399999999	29.04092	5	H3C1N1_2
HC3H	H2C3	3B	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC3H_3B.xyz	-115.118311	38.047779999999996	5	H2C3_1
c-C3H2	H2C3	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/c-C3H2_1A1.xyz	-115.14244	38.047779999999996	5	H2C3_3
H2C3	H2C3	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2C3_1A1.xyz	-115.12088899999999	38.047779999999996	5	H2C3_2
CH2CN	H2C2N1	2B1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH2CN_2B1.xyz	-131.872012	40.04378	5	H2C2N1_10
H2CCO	H2C2O1	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2CCO_1A1.xyz	-152.369102	42.03608	5	H2C2O1_1
NH2CN	H2C1N2	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NH2CN_1Ap.xyz	-148.562509	42.03978	5	H2C1N2_9
HCOOH	H2C1O2	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCOOH_1Ap.xyz	-189.517766	46.02438	5	H2C1O2_2
C4H	H1C4	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C4H_2Sigma.xyz	-152.482987	49.05064	5	H1C4_5
HC3N	H1C3N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC3N_1Sigma.xyz	-169.289101	51.04664	5	H1C3N1_21
HCNCC	H1C3N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCNCC_1Sigma.xyz	-169.162941	51.04664	5	H1C3N1_8
HNCCC	H1C3N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HNCCC_1Ap.xyz	-169.20666200000002	51.04664	5	H1C3N1_13
HCCNC	H1C3N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCCNC_1Sigma.xyz	-169.245868	51.04664	5	H1C3N1_23
HCOCN	H1C2N1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCOCN_1Ap.xyz	-206.434241	55.03494000000001	5	NoFormulaMatching
C5	C5	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C5_1Sigma.xyz	-189.846301	60.0535	5	C5_1
C4N	C4N1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C4N_2Pi.xyz	-206.559962	62.0495	5	C4N1_23
C4O	C4O1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C4O_3Sigma.xyz	-227.03631600000003	64.0418	5	NoFormulaMatching
C2H4	H4C2	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2H4_1A1.xyz	-78.443764	28.05276	6	NoFormulaMatching
CH3OH	H4C1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3OH_1Ap.xyz	-115.56238400000001	32.041059999999995	6	NoFormulaMatching
CH2C2H	H3C3	2B1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH2C2H_2B1.xyz	-115.785274	39.055620000000005	6	NoFormulaMatching
CH3CC	H3C3	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3CC_2Ap.xyz	-115.71489199999999	39.055620000000005	6	NoFormulaMatching
CH2CNH	H3C2N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH2CNH_1Ap.xyz	-132.491773	41.05162	6	NoFormulaMatching
CH3CN	H3C2N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3CN_1Ap.xyz	-132.536921	41.05162	6	NoFormulaMatching
HCONH2	H3C1N1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCONH2_1Ap.xyz	-169.657017	45.03992	6	NoFormulaMatching
H2C4	H2C4	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2C4_1A1.xyz	-153.133733	50.058479999999996	6	NoFormulaMatching
C4H2	H2C4	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C4H2_1Sigma.xyz	-153.20511100000002	50.058479999999996	6	NoFormulaMatching
c-C3H2O	H2C3O1	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/c-C3H2O_1A1.xyz	-190.340474	54.04678000000001	6	NoFormulaMatching
HCOC2H	H2C3O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCOC2H_1Ap.xyz	-190.351374	54.04678000000001	6	NoFormulaMatching
C5H	H1C5	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C5H_2Pi.xyz	-190.486119	61.06134	6	NoFormulaMatching
HC4N	H1C4N1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC4N_3Sigma.xyz	-207.22658	63.05734	6	NoFormulaMatching
C6	C6	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C6_1Sigma.xyz	-227.80829100000003	72.0642	6	NoFormulaMatching
C5N	C5N1	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C5N_2Sigma.xyz	-244.570992	74.0602	6	NoFormulaMatching
C4N2	C4N2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C4N2_1Sigma.xyz	-261.3811767	76.0562	6	NoFormulaMatching
C2H5	H5C2	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2H5_2Ap.xyz	-79.007767	29.0606	7	NoFormulaMatching
CH3NH2	H5C1N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3NH2_1Ap.xyz	-95.701761	31.056600000000003	7	NoFormulaMatching
CH3C2H	H4C3	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3C2H_1Ap.xyz	-1.172636	40.06346	7	NoFormulaMatching
CH3CHO	H4C2O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3CHO_1Ap.xyz	-153.592147	44.051759999999994	7	NoFormulaMatching
CH3C3	H3C4	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3C3_2Ap.xyz	-153.713984	51.066320000000005	7	NoFormulaMatching
CH2CHCN	H3C3N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH2CHCN_1Ap.xyz	-170.538015	53.06231999999999	7	NoFormulaMatching
H2C5	H2C5	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2C5_1A1.xyz	-191.126223	62.06918	7	NoFormulaMatching
C6H	H1C6	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C6H_2Pi.xyz	-228.50281800000002	73.07204	7	NoFormulaMatching
HC5N	H1C5N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC5N_1Sigma.xyz	-245.294796	75.06804	7	NoFormulaMatching
C7	C7	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C7_1Sigma.xyz	-265.85290699999996	84.0749	7	NoFormulaMatching
CH2CHC2H	H4C4	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH2CHC2H_1Ap.xyz	-154.448185	52.07416	8	NoFormulaMatching
CH3COOH	H4C2O2	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3COOH_1Ap.xyz	-228.762061	60.05076	8	NoFormulaMatching
CH3OCHO	H4C2O2	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3OCHO_1Ap.xyz	-228.735924	60.05076	8	NoFormulaMatching
HCOCH2OH	H4C2O2	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCOCH2OH_1Ap.xyz	-228.71900499999998	60.05076	8	NoFormulaMatching
CH2CCHCN	H3C4N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH2CCHCN_1Ap.xyz	-208.530588	65.07302	8	NoFormulaMatching
HCCCH2CN	H3C4N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCCCH2CN_1Ap.xyz	-208.524419	65.07302	8	NoFormulaMatching
CH3C3N	H3C4N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3C3N_1Ap.xyz	-208.53616599999998	65.07302	8	NoFormulaMatching
H2C6	H2C6	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2C6_1A1.xyz	-229.13408900000002	74.07988	8	NoFormulaMatching
